pollster,date,age,MOE,n,mode,IVR,rolling,numeric_date,loess_weight,party,pct,actual_pct,error
Campaign Research,2019-10-19,1,1.4,5039,online (rolling),FALSE,FALSE,18188,8.451542547285166,Liberal,0.314,0.3312,-0.017199999999999993
Mainstreet Research,2019-10-19,1,2.17,2302,IVR,TRUE,FALSE,18188,2.2628141110071023,Liberal,0.316,0.3312,-0.015199999999999991
Research Co.,2019-10-19,1,3.1,957,online,FALSE,FALSE,18188,5.679618342470649,Liberal,0.32,0.3312,-0.011199999999999988
Campaign Research,2019-10-18,2,1.6,3541,online (rolling),FALSE,FALSE,18187,7.905694150420949,Liberal,0.317,0.3312,-0.01419999999999999
Nanos Research,2019-10-18,2,2.4,1600,telephone (rolling),FALSE,TRUE,18187,2.151657414559676,Liberal,0.31,0.3312,-0.021199999999999997
Abacus Data,2019-10-17,3,2.1,2000,online,FALSE,FALSE,18186,6.900655593423543,Liberal,0.34,0.3312,0.00880000000000003
Campaign Research,2019-10-17,3,2.2,1987,online,FALSE,FALSE,18186,6.741998624632421,Liberal,0.31,0.3312,-0.021199999999999997
Ipsos,2019-10-17,3,2,3108,online/telephone,FALSE,FALSE,18186,7.0710678118654755,Liberal,0.31,0.3312,-0.021199999999999997
Mainstreet Research,2019-10-17,3,2.11,2134,IVR (rolling),TRUE,TRUE,18186,0.764920434246127,Liberal,0.32799999999999996,0.3312,-0.003200000000000036
Nanos Research,2019-10-17,3,2.8,1200,telephone (rolling),FALSE,TRUE,18186,1.9920476822239894,Liberal,0.326,0.3312,-0.005199999999999982
DART/Maru,2019-10-16,4,2.9,1518,online,FALSE,FALSE,18185,5.872202195147035,Liberal,0.29,0.3312,-0.041200000000000014
Mainstreet Research,2019-10-16,4,2.11,2163,IVR (rolling),TRUE,TRUE,18185,0.764920434246127,Liberal,0.321,0.3312,-0.010199999999999987
Nanos Research,2019-10-16,4,2.8,1200,telephone (rolling),FALSE,TRUE,18185,1.9920476822239894,Liberal,0.315,0.3312,-0.016199999999999992
Forum Research,2019-10-15,5,3,1028,IVR,TRUE,FALSE,18184,1.9245008972987525,Liberal,0.3,0.3312,-0.031200000000000006
Leger,2019-10-15,5,2.13,2117,online,FALSE,FALSE,18184,6.851887098275316,Liberal,0.33,0.3312,-0.0011999999999999789
Mainstreet Research,2019-10-15,5,2.12,2128,IVR (rolling),TRUE,TRUE,18184,0.7631142441593834,Liberal,0.319,0.3312,-0.012199999999999989
Nanos Research,2019-10-15,5,2.8,1200,telephone (rolling),FALSE,TRUE,18184,1.9920476822239894,Liberal,0.315,0.3312,-0.016199999999999992
Mainstreet Research,2019-10-14,6,2.15,2070,IVR (rolling),TRUE,TRUE,18183,0.7577714883005262,Liberal,0.309,0.3312,-0.022199999999999998
Nanos Research,2019-10-14,6,2.8,1200,telephone (rolling),FALSE,TRUE,18183,1.9920476822239894,Liberal,0.319,0.3312,-0.012199999999999989
Angus Reid,2019-10-13,7,2,2100,online,FALSE,FALSE,18182,7.0710678118654755,Liberal,0.29,0.3312,-0.041200000000000014
Mainstreet Research,2019-10-13,7,2.15,2076,IVR (rolling),TRUE,TRUE,18182,0.7577714883005262,Liberal,0.307,0.3312,-0.0242
Innovative Research,2019-10-12,8,1.4667044678212036,1964,online,FALSE,FALSE,18181,8.257121831608869,Liberal,0.33,0.3312,-0.0011999999999999789
Innovative Research,2019-10-12,8,1.1685658811070068,3094,online,FALSE,FALSE,18181,9.250674481911993,Liberal,0.34,0.3312,0.00880000000000003
Mainstreet Research,2019-10-12,8,2.11,2150,IVR (rolling),TRUE,FALSE,18181,2.294761302738381,Liberal,0.307,0.3312,-0.0242
Nanos Research,2019-10-12,8,2.8,1200,telephone (rolling),FALSE,TRUE,18181,1.9920476822239894,Liberal,0.32299999999999995,0.3312,-0.00820000000000004
