Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate's Family Name/Nom de famille du candidat,Candidate's Middle Name/Second prénom du candidat,Candidate's First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35097,Welland","Welland"," 1","St. Catharines",N,N,"",0,330,"Allen","","Malcolm","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,31
35097,Welland","Welland"," 1","St. Catharines",N,N,"",0,330,"Di Bartolomeo","","Jody","Independent","Indépendant",N,N,4
35097,Welland","Welland"," 1","St. Catharines",N,N,"",0,330,"Kiers","","Alf","Conservative","Conservateur",N,N,94
35097,Welland","Welland"," 1","St. Catharines",N,N,"",0,330,"Maloney","","John","Liberal","Libéral",Y,N,35
35097,Welland","Welland"," 1","St. Catharines",N,N,"",0,330,"Mooradian","","Jennifer","Green Party","Parti Vert",N,N,15
35097,Welland","Welland"," 1","St. Catharines",N,N,"",0,330,"Walker","","Ron","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35097,Welland","Welland"," 2A","St. Catharines",N,N,"",0,257,"Allen","","Malcolm","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,37
35097,Welland","Welland"," 2A","St. Catharines",N,N,"",0,257,"Di Bartolomeo","","Jody","Independent","Indépendant",N,N,1
35097,Welland","Welland"," 2A","St. Catharines",N,N,"",0,257,"Kiers","","Alf","Conservative","Conservateur",N,N,63
35097,Welland","Welland"," 2A","St. Catharines",N,N,"",0,257,"Maloney","","John","Liberal","Libéral",Y,N,30
35097,Welland","Welland"," 2A","St. Catharines",N,N,"",0,257,"Mooradian","","Jennifer","Green Party","Parti Vert",N,N,11
35097,Welland","Welland"," 2A","St. Catharines",N,N,"",0,257,"Walker","","Ron","Marxist-Leninist","Marxiste-Léniniste",N,N,1
35097,Welland","Welland"," 2B","St. Catharines",N,N,"",0,269,"Allen","","Malcolm","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,47
35097,Welland","Welland"," 2B","St. Catharines",N,N,"",0,269,"Di Bartolomeo","","Jody","Independent","Indépendant",N,N,2
35097,Welland","Welland"," 2B","St. Catharines",N,N,"",0,269,"Kiers","","Alf","Conservative","Conservateur",N,N,49
35097,Welland","Welland"," 2B","St. Catharines",N,N,"",0,269,"Maloney","","John","Liberal","Libéral",Y,N,32
35097,Welland","Welland"," 2B","St. Catharines",N,N,"",0,269,"Mooradian","","Jennifer","Green Party","Parti Vert",N,N,11
35097,Welland","Welland"," 2B","St. Catharines",N,N,"",0,269,"Walker","","Ron","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35097,Welland","Welland"," 3","St. Catharines",N,N,"",1,382,"Allen","","Malcolm","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,51
