Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"Ahmad","","Mariam","Communist","Communiste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"Biggin","","Colin","Green Party","Parti Vert",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"Di Battista","","Julian","Conservative","Conservateur",N,N,14
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"Morneau","","Bill","Liberal","Libéral",N,Y,64
35108,"Toronto Centre","Toronto-Centre"," 1A","Toronto",N,N,"",0,255,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 1B","Toronto",N,N,"",0,236,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 1B","Toronto",N,N,"",0,236,"Biggin","","Colin","Green Party","Parti Vert",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 1B","Toronto",N,N,"",0,236,"Di Battista","","Julian","Conservative","Conservateur",N,N,5
