geography,date,party,outcome,pct_05,pct_50,pct_95
Alberta,2021-08-15,Conservative,Seats,29,32,33
Alberta,2021-08-15,Green,Seats,0,0,0
Alberta,2021-08-15,Liberal,Seats,0,1,3
Alberta,2021-08-15,NDP,Seats,1,1,2
Alberta,2021-08-15,People's,Seats,0,0,0
Alberta,2021-08-15,Conservative,Vote share,0.45974591659216546,0.5395194575651922,0.6276712613260355
Alberta,2021-08-15,Green,Vote share,0.005460493520009559,0.04676497833530387,0.0921642503942965
Alberta,2021-08-15,Liberal,Vote share,0.11345143022135154,0.1824041184276981,0.2494453535256253
Alberta,2021-08-15,NDP,Vote share,0.08920664003085099,0.16265035214807172,0.23272667810096861
Alberta,2021-08-15,People's,Vote share,0.02489148259456355,0.06273090798276562,0.10107215422803108
British Columbia,2021-08-15,Conservative,Seats,7,13,18
British Columbia,2021-08-15,Green,Seats,1,2,2
British Columbia,2021-08-15,Liberal,Seats,11,15,21
British Columbia,2021-08-15,NDP,Seats,8,11,15
British Columbia,2021-08-15,People's,Seats,0,0,0
British Columbia,2021-08-15,Conservative,Vote share,0.19748362744585926,0.2680644038814301,0.3386609047020178
British Columbia,2021-08-15,Green,Vote share,0.05553582220521729,0.10092505105167199,0.15158091565441822
British Columbia,2021-08-15,Liberal,Vote share,0.239073163161875,0.30489996282203957,0.3684671472403687
British Columbia,2021-08-15,NDP,Vote share,0.18802646280193624,0.2642668909302357,0.3394303976846018
British Columbia,2021-08-15,People's,Vote share,0.02016365646390654,0.056131582659349644,0.09198248255871472
Manitoba,2021-08-15,Conservative,Seats,5,6,7
Manitoba,2021-08-15,Green,Seats,0,0,0
Manitoba,2021-08-15,Liberal,Seats,4,5,7
Manitoba,2021-08-15,NDP,Seats,2,3,4
Manitoba,2021-08-15,People's,Seats,0,0,0
Manitoba,2021-08-15,Conservative,Vote share,0.2664989122608052,0.35005568048323416,0.4334869808835637
Manitoba,2021-08-15,Green,Vote share,0.007885871640813426,0.058976979190500094,0.10960872918265356
Manitoba,2021-08-15,Liberal,Vote share,0.2288086833788964,0.3030347030558327,0.3807915294354019
Manitoba,2021-08-15,NDP,Vote share,0.14971148054688688,0.22185383173292256,0.29930269745596205
Manitoba,2021-08-15,People's,Vote share,0.0188095496860924,0.058957601180217034,0.09847646776033088
National,2021-08-15,Bloc,Seats,21,28,35
National,2021-08-15,Conservative,Seats,99,112,124
National,2021-08-15,Green,Seats,1,2,3
National,2021-08-15,Liberal,Seats,147,164,181
National,2021-08-15,NDP,Seats,23,31,43
National,2021-08-15,People's,Seats,0,0,0
National,2021-08-15,Bloc,Vote share,0.05132214207159968,0.06544800148294835,0.08040178112865075
National,2021-08-15,Conservative,Vote share,0.2504317764599118,0.28259493721534,0.3164177086291585
National,2021-08-15,Green,Vote share,0.03708940909150001,0.06660847961163756,0.09805983785151026
National,2021-08-15,Liberal,Vote share,0.29866574989621425,0.3350538273382338,0.3718815210981842
National,2021-08-15,NDP,Vote share,0.15199041885248699,0.18766565036157862,0.22154606579957542
National,2021-08-15,People's,Vote share,0.03783725921984228,0.056953362039019406,0.07650680653739395
New Brunswick,2021-08-15,Conservative,Seats,1,3,5
New Brunswick,2021-08-15,Green,Seats,0,0,1
New Brunswick,2021-08-15,Liberal,Seats,5,7,8
New Brunswick,2021-08-15,NDP,Seats,0,0,1
New Brunswick,2021-08-15,People's,Seats,0,0,0
New Brunswick,2021-08-15,Conservative,Vote share,0.18710948533729288,0.2628798864767919,0.3394055510403746
New Brunswick,2021-08-15,Green,Vote share,0.0750800947333688,0.12666514263530584,0.18405688972670808
New Brunswick,2021-08-15,Liberal,Vote share,0.3267635447547358,0.4071098368411,0.49131290785619036
New Brunswick,2021-08-15,NDP,Vote share,0.059520024323766914,0.13619023808591652,0.2152931981580045
